date,type,sales,drawdate,jackpot
2014-01-01,bc49," 50,648 ",2014-01-01,"$2,000,000"
2014-01-01,extra," 37,571 ",2014-01-01,"$500,000"
2014-01-01,lotto649," 236,397 ",2014-01-01,"$ 5,000,000 "
2014-01-02,bc49," 30,021 ",2014-01-04,"$2,000,000"
2014-01-02,extra," 33,007 ",2014-01-04,"$500,000"
2014-01-02,lotto649," 145,496 ",2014-01-04,"$ 5,000,000 "
2014-01-03,bc49," 47,533 ",2014-01-04,"$2,000,000"
2014-01-03,extra," 51,589 ",2014-01-04,"$500,000"
2014-01-03,lotto649," 256,706 ",2014-01-04,"$ 5,000,000 "
2014-01-04,bc49," 88,451 ",2014-01-04,"$2,000,000"
2014-01-04,extra," 67,225 ",2014-01-04,"$500,000"
2014-01-04,lotto649," 402,410 ",2014-01-04,"$ 5,000,000 "
2014-01-05,bc49," 23,148 ",2014-01-08,"$2,000,000"
2014-01-05,extra," 24,866 ",2014-01-08,"$500,000"
2014-01-05,lotto649," 113,100 ",2014-01-08,"$ 5,000,000 "
2014-01-06,bc49," 31,742 ",2014-01-08,"$2,000,000"
2014-01-06,extra," 31,344 ",2014-01-08,"$500,000"
2014-01-06,lotto649," 159,331 ",2014-01-08,"$ 5,000,000 "
2014-01-07,bc49," 38,202 ",2014-01-08,"$2,000,000"
2014-01-07,extra," 33,993 ",2014-01-08,"$500,000"
2014-01-07,lotto649," 184,178 ",2014-01-08,"$ 5,000,000 "
2014-01-08,bc49," 79,351 ",2014-01-08,"$2,000,000"
2014-01-08,extra," 60,611 ",2014-01-08,"$500,000"
2014-01-08,lotto649," 364,833 ",2014-01-08,"$ 5,000,000 "
2014-01-09,bc49," 28,344 ",2014-01-11,"$2,000,000"
2014-01-09,extra," 31,098 ",2014-01-11,"$500,000"
2014-01-09,lotto649," 142,731 ",2014-01-11,"$ 5,000,000 "
2014-01-10,bc49," 47,640 ",2014-01-11,"$2,000,000"
2014-01-10,extra," 49,312 ",2014-01-11,"$500,000"
2014-01-10,lotto649," 245,012 ",2014-01-11,"$ 5,000,000 "
2014-01-11,bc49," 85,976 ",2014-01-11,"$2,000,000"
2014-01-11,extra," 63,549 ",2014-01-11,"$500,000"
2014-01-11,lotto649," 382,718 ",2014-01-11,"$ 5,000,000 "
2014-01-12,bc49," 20,387 ",2014-01-15,"$2,000,000"
2014-01-12,extra," 22,748 ",2014-01-15,"$500,000"
2014-01-12,lotto649," 95,347 ",2014-01-15,"$ 5,000,000 "
2014-01-13,bc49," 28,879 ",2014-01-15,"$2,000,000"
2014-01-13,extra," 28,975 ",2014-01-15,"$500,000"
2014-01-13,lotto649," 142,836 ",2014-01-15,"$ 5,000,000 "
2014-01-14,bc49," 39,398 ",2014-01-15,"$2,000,000"
2014-01-14,extra," 34,753 ",2014-01-15,"$500,000"
2014-01-14,lotto649," 187,677 ",2014-01-15,"$ 5,000,000 "
2014-01-15,bc49," 79,491 ",2014-01-15,"$2,000,000"
2014-01-15,extra," 61,770 ",2014-01-15,"$500,000"
2014-01-15,lotto649," 361,936 ",2014-01-15,"$ 5,000,000 "
2014-01-16,bc49," 31,115 ",2014-01-18,"$2,000,000"
2014-01-16,extra," 33,355 ",2014-01-18,"$500,000"
2014-01-16,lotto649," 160,545 ",2014-01-18,"$ 7,000,000 "
2014-01-17,bc49," 45,236 ",2014-01-18,"$2,000,000"
2014-01-17,extra," 50,052 ",2014-01-18,"$500,000"
2014-01-17,lotto649," 256,023 ",2014-01-18,"$ 7,000,000 "
2014-01-18,bc49," 88,904 ",2014-01-18,"$2,000,000"
2014-01-18,extra," 65,986 ",2014-01-18,"$500,000"
2014-01-18,lotto649," 412,733 ",2014-01-18,"$ 7,000,000 "
2014-01-19,bc49," 22,699 ",2014-01-22,"$2,000,000"
2014-01-19,extra," 24,538 ",2014-01-22,"$500,000"
2014-01-19,lotto649," 117,356 ",2014-01-22,"$ 10,000,000 "
2014-01-20,bc49," 31,218 ",2014-01-22,"$2,000,000"
2014-01-20,extra," 31,273 ",2014-01-22,"$500,000"
2014-01-20,lotto649," 170,571 ",2014-01-22,"$ 10,000,000 "
2014-01-21,bc49," 39,620 ",2014-01-22,"$2,000,000"
2014-01-21,extra," 37,120 ",2014-01-22,"$500,000"
2014-01-21,lotto649," 219,538 ",2014-01-22,"$ 10,000,000 "
2014-01-22,bc49," 86,448 ",2014-01-22,"$2,000,000"
2014-01-22,extra," 70,495 ",2014-01-22,"$500,000"
2014-01-22,lotto649," 447,516 ",2014-01-22,"$ 10,000,000 "
2014-01-23,bc49," 31,249 ",2014-01-25,"$2,000,000"
2014-01-23,extra," 31,291 ",2014-01-25,"$500,000"
2014-01-23,lotto649," 144,312 ",2014-01-25,"$ 5,000,000 "
2014-01-24,bc49," 45,601 ",2014-01-25,"$2,000,000"
2014-01-24,extra," 46,430 ",2014-01-25,"$500,000"
2014-01-24,lotto649," 231,398 ",2014-01-25,"$ 5,000,000 "
2014-01-25,bc49," 89,273 ",2014-01-25,"$2,000,000"
2014-01-25,extra," 65,830 ",2014-01-25,"$500,000"
2014-01-25,lotto649," 396,060 ",2014-01-25,"$ 5,000,000 "
2014-01-26,bc49," 22,393 ",2014-01-29,"$2,000,000"
2014-01-26,extra," 23,617 ",2014-01-29,"$500,000"
2014-01-26,lotto649," 108,371 ",2014-01-29,"$ 7,000,000 "
2014-01-27,bc49," 30,258 ",2014-01-29,"$2,000,000"
2014-01-27,extra," 29,198 ",2014-01-29,"$500,000"
2014-01-27,lotto649," 153,492 ",2014-01-29,"$ 7,000,000 "
2014-01-28,bc49," 37,046 ",2014-01-29,"$2,000,000"
2014-01-28,extra," 33,845 ",2014-01-29,"$500,000"
2014-01-28,lotto649," 195,597 ",2014-01-29,"$ 7,000,000 "
2014-01-29,bc49," 88,485 ",2014-01-29,"$2,000,000"
2014-01-29,extra," 67,962 ",2014-01-29,"$500,000"
2014-01-29,lotto649," 413,672 ",2014-01-29,"$ 7,000,000 "
2014-01-30,bc49," 35,282 ",2014-02-01,"$2,000,000"
2014-01-30,extra," 37,533 ",2014-02-01,"$500,000"
2014-01-30,lotto649," 199,177 ",2014-02-01,"$ 11,000,000 "
2014-01-31,bc49," 54,509 ",2014-02-01,"$2,000,000"
2014-01-31,extra," 58,276 ",2014-02-01,"$500,000"
2014-01-31,lotto649," 322,748 ",2014-02-01,"$ 11,000,000 "
2014-02-01,bc49," 98,680 ",2014-02-01,"$2,000,000"
2014-02-01,extra," 77,651 ",2014-02-01,"$500,000"
2014-02-01,lotto649," 507,616 ",2014-02-01,"$ 11,000,000 "
2014-02-02,bc49," 25,219 ",2014-02-05,"$2,000,000"
2014-02-02,extra," 25,744 ",2014-02-05,"$500,000"
2014-02-02,lotto649," 124,460 ",2014-02-05,"$ 5,000,000 "
2014-02-03,bc49," 36,178 ",2014-02-05,"$2,000,000"
2014-02-03,extra," 31,801 ",2014-02-05,"$500,000"
2014-02-03,lotto649," 172,341 ",2014-02-05,"$ 5,000,000 "
2014-02-04,bc49," 43,349 ",2014-02-05,"$2,000,000"
2014-02-04,extra," 36,045 ",2014-02-05,"$500,000"
2014-02-04,lotto649," 217,948 ",2014-02-05,"$ 5,000,000 "
2014-02-05,bc49," 83,031 ",2014-02-05,"$2,000,000"
2014-02-05,extra," 61,633 ",2014-02-05,"$500,000"
2014-02-05,lotto649," 376,629 ",2014-02-05,"$ 5,000,000 "
2014-02-06,bc49," 32,593 ",2014-02-08,"$2,000,000"
2014-02-06,extra," 33,114 ",2014-02-08,"$500,000"
2014-02-06,lotto649," 163,931 ",2014-02-08,"$ 7,000,000 "
2014-02-07,bc49," 47,991 ",2014-02-08,"$2,000,000"
2014-02-07,extra," 49,962 ",2014-02-08,"$500,000"
2014-02-07,lotto649," 261,406 ",2014-02-08,"$ 7,000,000 "
2014-02-08,bc49," 92,306 ",2014-02-08,"$2,000,000"
2014-02-08,extra," 67,123 ",2014-02-08,"$500,000"
2014-02-08,lotto649," 423,572 ",2014-02-08,"$ 7,000,000 "
2014-02-09,bc49," 23,592 ",2014-02-12,"$2,000,000"
2014-02-09,extra," 24,179 ",2014-02-12,"$500,000"
2014-02-09,lotto649," 113,654 ",2014-02-12,"$ 10,000,000 "
2014-02-10,bc49," 19,703 ",2014-02-12,"$2,000,000"
2014-02-10,extra," 20,125 ",2014-02-12,"$500,000"
2014-02-10,lotto649," 106,414 ",2014-02-12,"$ 10,000,000 "
2014-02-11,bc49," 43,948 ",2014-02-12,"$2,000,000"
2014-02-11,extra," 38,763 ",2014-02-12,"$500,000"
2014-02-11,lotto649," 226,162 ",2014-02-12,"$ 10,000,000 "
2014-02-12,bc49," 84,966 ",2014-02-12,"$2,000,000"
2014-02-12,extra," 68,302 ",2014-02-12,"$500,000"
2014-02-12,lotto649," 435,417 ",2014-02-12,"$ 10,000,000 "
2014-02-13,bc49," 32,509 ",2014-02-15,"$2,000,000"
2014-02-13,extra," 38,018 ",2014-02-15,"$500,000"
2014-02-13,lotto649," 195,716 ",2014-02-15,"$ 13,000,000 "
2014-02-14,bc49," 49,976 ",2014-02-15,"$2,000,000"
2014-02-14,extra," 56,789 ",2014-02-15,"$500,000"
2014-02-14,lotto649," 308,771 ",2014-02-15,"$ 13,000,000 "
2014-02-15,bc49," 90,935 ",2014-02-15,"$2,000,000"
2014-02-15,extra," 70,336 ",2014-02-15,"$500,000"
2014-02-15,lotto649," 459,381 ",2014-02-15,"$ 13,000,000 "
2014-02-16,bc49," 22,803 ",2014-02-19,"$2,000,000"
2014-02-16,extra," 25,982 ",2014-02-19,"$500,000"
2014-02-16,lotto649," 125,963 ",2014-02-19,"$ 17,000,000 "
2014-02-17,bc49," 32,408 ",2014-02-19,"$2,000,000"
2014-02-17,extra," 32,877 ",2014-02-19,"$500,000"
2014-02-17,lotto649," 187,175 ",2014-02-19,"$ 17,000,000 "
2014-02-18,bc49," 37,826 ",2014-02-19,"$2,000,000"
2014-02-18,extra," 36,756 ",2014-02-19,"$500,000"
2014-02-18,lotto649," 224,877 ",2014-02-19,"$ 17,000,000 "
2014-02-19,bc49," 86,296 ",2014-02-19,"$2,000,000"
2014-02-19,extra," 72,493 ",2014-02-19,"$500,000"
2014-02-19,lotto649," 479,756 ",2014-02-19,"$ 17,000,000 "
2014-02-20,bc49," 29,076 ",2014-02-22,"$2,000,000"
2014-02-20,extra," 32,820 ",2014-02-22,"$500,000"
2014-02-20,lotto649," 149,480 ",2014-02-22,"$ 5,000,000 "
2014-02-21,bc49," 45,443 ",2014-02-22,"$2,000,000"
2014-02-21,extra," 50,066 ",2014-02-22,"$500,000"
2014-02-21,lotto649," 241,806 ",2014-02-22,"$ 5,000,000 "
2014-02-22,bc49," 83,995 ",2014-02-22,"$2,000,000"
2014-02-22,extra," 60,734 ",2014-02-22,"$500,000"
2014-02-22,lotto649," 361,595 ",2014-02-22,"$ 5,000,000 "
2014-02-23,bc49," 16,801 ",2014-02-26,"$2,000,000"
2014-02-23,extra," 18,980 ",2014-02-26,"$500,000"
2014-02-23,lotto649," 83,352 ",2014-02-26,"$ 7,000,000 "
2014-02-24,bc49," 24,392 ",2014-02-26,"$2,000,000"
2014-02-24,extra," 24,027 ",2014-02-26,"$500,000"
2014-02-24,lotto649," 122,956 ",2014-02-26,"$ 7,000,000 "
2014-02-25,bc49," 41,510 ",2014-02-26,"$2,000,000"
2014-02-25,extra," 37,201 ",2014-02-26,"$500,000"
2014-02-25,lotto649," 206,856 ",2014-02-26,"$ 7,000,000 "
2014-02-26,bc49," 88,833 ",2014-02-26,"$2,000,000"
2014-02-26,extra," 72,581 ",2014-02-26,"$500,000"
2014-02-26,lotto649," 431,302 ",2014-02-26,"$ 7,000,000 "
2014-02-27,bc49," 33,420 ",2014-03-01,"$2,000,000"
2014-02-27,extra," 36,155 ",2014-03-01,"$500,000"
2014-02-27,lotto649," 166,772 ",2014-03-01,"$ 5,000,000 "
2014-02-28,bc49," 48,652 ",2014-03-01,"$2,000,000"
2014-02-28,extra," 53,598 ",2014-03-01,"$500,000"
2014-02-28,lotto649," 264,183 ",2014-03-01,"$ 5,000,000 "
2014-03-01,bc49," 93,941 ",2014-03-01,"$2,000,000"
2014-03-01,extra," 69,297 ",2014-03-01,"$500,000"
2014-03-01,lotto649," 418,198 ",2014-03-01,"$ 5,000,000 "
2014-03-02,bc49," 19,666 ",2014-03-05,"$2,000,000"
2014-03-02,extra," 21,281 ",2014-03-05,"$500,000"
2014-03-02,lotto649," 97,809 ",2014-03-05,"$ 7,000,000 "
2014-03-03,bc49," 32,525 ",2014-03-05,"$2,000,000"
